,value
4,46.05385208129883
413,45.87767028808594
173,45.83144760131836
213,44.9452896118164
304,43.63977813720703
420,42.32527160644531
166,41.94298553466797
228,41.305267333984375
256,41.20571517944336
163,40.545654296875
419,40.49916839599609
6,39.56573486328125
285,38.97586059570312
243,38.18705749511719
266,38.14284896850586
447,38.06156921386719
348,38.06156921386719
152,37.85341262817383
254,37.29423904418945
201,37.13311004638672
125,36.6391716003418
230,36.59590530395508
268,36.56439208984375
130,36.39826202392578
255,36.16694641113281
75,35.88481903076172
403,35.73028564453125
257,35.23162841796875
1,34.83296203613281
471,34.81602478027344
55,34.462181091308594
239,34.16851806640625
351,34.120689392089844
341,34.046600341796875
353,33.512908935546875
241,33.248573303222656
118,33.167388916015625
121,32.78968811035156
250,32.52708435058594
225,32.44824981689453
314,32.443603515625
60,32.285186767578125
321,31.96546173095703
472,31.913375854492188
316,31.430267333984375
90,31.236488342285156
429,31.006980895996094
93,30.79528045654297
79,30.755706787109375
395,30.73094940185547
251,30.552001953125
58,30.442047119140625
97,30.240997314453125
193,30.230911254882812
484,29.757492065429688
291,29.62366485595703
325,29.577186584472656
252,29.515090942382812
198,29.515090942382812
191,29.286231994628906
324,28.960487365722656
331,28.92876434326172
492,28.785545349121094
42,28.67364501953125
343,28.50226593017578
106,28.48077392578125
159,28.29198455810547
84,28.19982147216797
344,27.965370178222656
149,27.76758575439453
133,27.70135498046875
270,27.44043731689453
443,27.4237060546875
318,27.4237060546875
489,27.27825927734375
499,27.21649932861328
242,27.047393798828125
486,26.871597290039062
182,26.84314727783203
76,26.654647827148438
327,26.412948608398438
122,26.192543029785156
297,25.87055206298828
74,25.87055206298828
401,25.84699249267578
320,25.83521270751953
187,25.68157958984375
171,25.55095672607422
328,25.317970275878906
16,25.167640686035156
52,25.143524169921875
188,25.10730743408203
145,24.919471740722656
148,24.858627319335938
124,24.79155731201172
23,24.767127990722656
378,24.724327087402344
18,24.71208953857422
282,24.67534637451172
336,24.61400604248047
219,24.472434997558594
86,24.292991638183594
114,24.286788940429688
300,24.286788940429688
21,23.9998779296875
168,23.968528747558594
493,23.874282836914062
309,23.792381286621094
298,23.70391845703125
0,23.697586059570312
27,23.596153259277344
323,23.449745178222656
229,23.417816162109375
179,23.41143035888672
77,23.398658752441406
354,23.27698516845703
404,23.01276397705078
162,22.967430114746094
385,22.67436981201172
161,22.661277770996094
473,22.51036834716797
104,22.484039306640625
73,22.43792724609375
216,22.299598693847656
71,22.29302215576172
421,22.061798095703125
82,21.668014526367188
445,21.654579162597656
95,21.465843200683594
432,21.411705017089844
47,21.3099365234375
303,20.350730895996094
224,20.07624053955078
89,19.899017333984375
64,19.6993408203125
301,19.28447723388672
277,19.23497772216797
91,19.107322692871094
136,18.93622589111328
431,18.828781127929688
368,18.706520080566406
50,18.533035278320312
192,18.50402069091797
340,18.431350708007812
247,18.409523010253906
185,18.402244567871094
49,18.387672424316406
35,18.387672424316406
54,18.373092651367188
99,18.2196044921875
211,18.0284423828125
146,17.91759490966797
477,17.813751220703125
437,17.806312561035156
498,17.687156677246094
231,17.552528381347656
408,17.507522583007812
482,17.4849853515625
248,17.160133361816406
80,17.007827758789062
232,17.00019073486328
22,16.969627380371094
370,16.96198272705078
217,16.923728942871094
313,16.862411499023438
260,16.495346069335938
141,16.415016174316406
386,16.37108612060547
345,16.290321350097656
70,15.630813598632812
43,15.596885681152344
19,15.467292785644531
9,15.274375915527344
110,15.232734680175781
411,15.218826293945312
312,15.128158569335938
194,15.072105407714844
15,15.065086364746094
94,14.888587951660156
215,14.838829040527344
382,14.76031494140625
350,14.746002197265625
402,14.65264892578125
120,14.65264892578125
468,14.65264892578125
40,14.594940185546875
196,14.573249816894531
279,14.558769226074219
186,14.427879333496094
272,14.347389221191406
62,14.295951843261719
51,14.158401489257812
384,14.114616394042969
274,13.975135803222656
115,13.967765808105469
436,13.901229858398438
259,13.901229858398438
131,13.84185791015625
490,13.804634094238281
412,13.797172546386719
379,13.797172546386719
389,13.797172546386719
218,13.774795532226562
5,13.744895935058594
57,13.665374755859375
137,13.647148132324219
416,13.641067504882812
195,13.610595703125
425,13.506202697753906
452,13.475265502929688
169,13.344146728515625
355,13.331558227539062
56,13.198318481445312
317,13.121292114257812
374,13.114837646484375
128,13.101936340332031
400,13.043609619140625
236,13.043609619140625
305,12.971817016601562
459,12.672164916992188
319,12.672164916992188
330,12.658622741699219
424,12.645057678222656
29,12.604255676269531
69,12.576942443847656
302,12.432273864746094
147,12.397499084472656
37,12.390533447265625
177,12.320541381835938
123,12.313522338867188
364,12.17901611328125
165,12.17901611328125
428,12.15045166015625
134,12.100265502929688
143,11.867485046386719
326,11.845375061035156
284,11.800994873046875
488,11.790733337402344
126,11.790733337402344
48,11.764007568359375
212,11.743904113769531
476,11.7371826171875
144,11.581062316894531
296,11.574203491210938
339,11.553573608398438
139,11.519088745117188
175,11.5052490234375
85,11.491386413574219
349,11.400642395019531
337,11.3583984375
245,11.315933227539062
253,11.315933227539062
189,11.129150390625
278,11.107307434082031
164,11.100013732910156
371,11.034065246582031
281,10.982391357421875
158,10.937820434570312
367,10.937820434570312
485,10.907974243164062
410,10.900489807128906
204,10.89300537109375
310,10.870498657226562
381,10.832855224609375
409,10.787445068359375
170,10.779853820800781
438,10.764640808105469
150,10.764640808105469
422,10.587646484375
369,10.54083251953125
28,10.509475708007812
72,10.501609802246094
117,10.485870361328125
103,10.462203979492188
160,10.454299926757812
346,10.350837707519531
479,10.270362854003906
132,10.262275695800781
113,10.179649353027344
240,10.161941528320312
31,10.108345031738281
264,10.035781860351562
98,9.99285888671875
65,9.980514526367188
357,9.968132019042969
487,9.968132019042969
308,9.943260192871094
332,9.905670166015625
306,9.886749267578125
14,9.861389160156236
24,9.848648071289062
315,9.764915466308594
17,9.705970764160156
226,9.659561157226562
214,9.652893066406236
45,9.585617065429673
261,9.565231323242202
286,9.489669799804673
405,9.482734680175781
387,9.454887390136719
276,9.433891296386719
249,9.405731201171875
96,9.398666381835938
375,9.356033325195327
8,9.298553466796875
393,9.254959106445327
203,9.254959106445327
88,9.233001708984375
223,9.218299865722656
222,9.121604919433594
227,9.106544494628906
102,9.045814514160156
12,9.030509948730483
347,8.960998535156236
206,8.890441894531236
391,8.858741760253906
2,8.770462036132798
366,8.713417053222656
153,8.688766479492202
334,8.672256469726562
494,8.6307373046875
63,8.572021484375
183,8.563575744628906
156,8.563575744628906
92,8.538146972656236
129,8.478286743164062
283,8.478286743164062
107,8.443763732910156
333,8.435089111328125
461,8.249435424804673
151,8.249435424804673
135,8.222343444824219
138,8.147987365722656
174,8.125335693359375
119,8.106124877929673
44,8.098350524902344
406,7.9967117309570455
480,7.979637145996094
470,7.962326049804673
373,7.881370544433594
199,7.8626708984375
342,7.615257263183594
329,7.557708740234375
38,7.4669189453125
32,7.376930236816406
33,7.343482971191406
434,7.049476623535156
87,7.039825439453125
25,7.034965515136719
111,7.030067443847656
20,7.025146484375
335,7.010208129882798
3,7.005172729492202
105,6.9950103759765625
388,6.9898757934570455
483,6.9898757934570455
167,6.979537963867202
497,6.974319458007798
478,6.953117370605483
11,6.947746276855483
475,6.947746276855483
415,6.942329406738281
407,6.9314117431640625
246,6.9258956909179545
496,6.9147796630859375
269,6.9091644287109375
26,6.903518676757798
359,6.903518676757798
294,6.8978271484375
258,6.892112731933594
66,6.892112731933594
273,6.892112731933594
190,6.874748229980483
10,6.8688812255859375
398,6.8688812255859375
322,6.862983703613281
376,6.862983703613281
39,6.8570404052734375
30,6.8389968872070455
450,6.8389968872070455
390,6.820602416992202
244,6.814392089843764
157,6.808135986328125
13,6.808135986328125
100,6.801841735839844
235,6.801841735839844
358,6.801841735839844
34,6.795509338378906
238,6.789138793945327
275,6.789138793945327
394,6.7762527465820455
423,6.769752502441406
372,6.769752502441406
396,6.7566070556640625
7,6.7566070556640625
59,6.749977111816406
101,6.7432937622070455
78,6.681083679199219
176,6.6739349365234375
67,6.652160644531236
307,6.644805908203125
197,6.629928588867202
430,6.629928588867202
290,6.629928588867202
233,6.641304016113281
293,6.6361007690429545
220,6.630859375
221,6.630859375
265,6.630859375
81,6.6202545166015625
362,6.6202545166015625
142,6.614891052246094
61,6.609474182128906
435,6.6040191650390625
68,6.592971801757798
338,6.587379455566406
202,6.570320129394517
365,6.564544677734375
417,6.564544677734375
127,6.564544677734375
289,6.5528411865234375
154,6.546905517578125
377,6.546905517578125
352,6.546905517578125
495,6.540931701660156
205,6.5348968505859375
426,6.5348968505859375
271,6.528816223144517
209,6.528816223144517
481,6.522682189941406
234,6.522682189941406
392,6.522682189941406
155,6.51025390625
361,6.51025390625
172,6.491203308105483
210,6.471633911132798
360,6.464996337890625
474,6.437835693359375
463,6.423873901367202
288,6.423873901367202
180,6.423873901367202
292,6.380401611328125
433,6.3653564453125
295,6.326454162597656
299,6.310348510742202
267,6.302177429199219
427,6.302177429199219
397,6.293922424316406
399,6.285591125488281
184,6.285591125488281
116,6.277168273925781
263,6.242599487304673
46,6.197364807128906
208,6.1397705078125
380,6.129806518554673
414,6.056846618652344
356,5.977783203125
36,5.977783203125
363,5.917152404785156
108,5.878936767578125
491,5.7105712890625
237,5.664108276367202
280,5.615684509277344
83,5.599082946777344
109,5.4190673828125
178,5.4190673828125
418,5.0557785034179545
200,5.0557785034179545
140,5.0557785034179545
53,5.0557785034179545
262,5.0557785034179545
41,5.0557785034179545
287,5.0557785034179545
311,5.0557785034179545
181,5.0557785034179545
112,5.0557785034179545
207,5.0557785034179545
383,5.0557785034179545
